Task ID,Task,Automation Desire Rating,Automation Capacity Rating
966,"Manage backup, security and user help systems.",3.0,3.5
969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",3.5,2.0
970,Stay abreast of advances in technology.,3.3,2.5
971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",3.6,3.0
972,Review and approve all systems charts and programs prior to their implementation.,2.7,2.5
974,Control operational budget and expenditures.,3.7,2.0
978,Review project plans to plan and coordinate project activity.,3.2,2.0
979,Evaluate data processing proposals to assess project feasibility and requirements.,3.6,2.0
980,Prepare and review operational reports or project progress reports.,3.1818181818181817,3.5
1267,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,3.0,3.0
1269,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",3.625,4.666666666666667
1270,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",3.111111111111111,4.5
1272,"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",2.5,3.0
1273,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",3.1,3.5
1274,Write or contribute to instructions or manuals to guide end users.,2.8,4.0
1275,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",3.4,5.0
1276,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",3.0,5.0
1277,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,2.625,3.5
1279,"Assign, coordinate, and review work and activities of programming personnel.",2.3333333333333335,2.3333333333333335
1282,Answer user inquiries regarding computer software or hardware operation to resolve problems.,2.8,4.5
1283,Enter commands and observe system functioning to verify correct operations and detect errors.,2.2857142857142856,4.666666666666667
1285,Oversee the daily performance of computer systems.,2.75,5.0
1287,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",4.5,4.666666666666667
1288,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",3.0,3.6666666666666665
1290,"Develop training materials and procedures, or train users in the proper use of hardware or software.",3.0,2.3333333333333335
1292,"Prepare evaluations of software or hardware, and recommend improvements or upgrades.",2.625,3.0
1299,Modify existing databases and database management systems or direct programmers and analysts to make changes.,2.1666666666666665,4.5
1300,"Test programs or databases, correct errors, and make necessary modifications.",3.25,4.0
1301,"Plan, coordinate, and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",2.3333333333333335,2.3333333333333335
1305,Specify users and user access levels for each segment of database.,2.5,4.0
1313,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions.",1.6666666666666667,4.5
1314,"Review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records.",2.5714285714285716,4.0
1317,Perform data backups and disaster recovery operations.,3.75,1.5
1318,"Maintain and administer computer networks and related computing environments, including computer hardware, systems software, applications software, and all configurations.",3.5,2.5
1319,"Plan, coordinate, and implement network security measures to protect data, software, and hardware.",3.7142857142857144,2.0
1320,Operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use.,3.5,4.5
1321,"Perform routine network startup and shutdown procedures, and maintain control records.",4.166666666666667,4.666666666666667
1322,"Design, configure, and test computer hardware, networking software and operating system software.",3.4,3.5
1323,"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.",3.3333333333333335,2.6666666666666665
1325,Monitor network performance to determine whether adjustments are needed and where changes will be needed in the future.,3.6666666666666665,3.3333333333333335
1329,Analyze equipment performance records to determine the need for repair or replacement.,3.6666666666666665,4.0
3465,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",2.3,3.0
3466,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",2.8,4.0
3470,Expand or modify system to serve new purposes or improve work flow.,2.5454545454545454,2.0
3474,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",2.7,3.0
3478,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",3.2222222222222223,4.5
3480,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",2.7,4.5
3482,"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems.",2.4,2.6666666666666665
3484,Specify inputs accessed by the system and plan the distribution and use of the results.,2.2222222222222223,3.3333333333333335
5314,"Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",2.6666666666666665,2.3333333333333335
5316,Monitor current reports of computer viruses to determine when to update virus protection systems.,3.375,3.0
5317,"Modify computer security files to incorporate new software, correct errors, or change individual access status.",2.625,3.5
5319,Monitor use of data files and regulate access to safeguard information in computer files.,3.7,3.0
5322,"Document computer security and emergency measures policies, procedures, and tests.",3.4,3.5
11401,"Read source documents such as canceled checks, sales reports, or bills, and enter data in specific data fields or onto tapes or disks for subsequent entry, using keyboards or scanners.",4.0,3.6666666666666665
11402,"Compile, sort, and verify the accuracy of data before it is entered.",3.0,4.0
11403,"Compare data with source documents, or re-enter data in verification format to detect errors.",3.5,4.0
11404,Store completed documents in appropriate locations.,4.333333333333333,3.0
11405,"Locate and correct data entry errors, or report them to supervisors.",3.25,4.0
11406,Maintain logs of activities and completed work.,4.25,3.6666666666666665
14623,Analyze problems to develop solutions involving computer hardware and software.,3.7777777777777777,2.3333333333333335
14624,Assign or schedule tasks to meet work priorities and goals.,3.7,3.0
14625,Evaluate project plans and proposals to assess feasibility issues.,4.1,4.0
14626,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",3.3333333333333335,1.6666666666666667
14633,Design computers and the software that runs them.,3.6666666666666665,2.6666666666666665
14636,"Approve, prepare, monitor, and adjust operational budgets.",4.166666666666667,2.5
14638,"Design test plans, scenarios, scripts, or procedures.",3.8333333333333335,3.3333333333333335
14639,Test system modifications to prepare for implementation.,3.25,3.6666666666666665
14640,"Develop testing programs that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability.",3.0,3.0
14641,"Document software defects, using a bug tracking system, and report defects to software developers.",2.6666666666666665,4.0
14642,"Identify, analyze, and document problems with program function, output, online screen, or content.",3.0,3.0
14643,Monitor bug resolution efforts and track successes.,4.0,4.0
14644,Create or maintain databases of known test defects.,3.25,5.0
14645,Plan test schedules or strategies in accordance with project scope or delivery dates.,3.0,4.0
14647,"Review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.",2.3333333333333335,4.5
14648,Document test procedures to ensure replicability and compliance with standards.,3.4,5.0
14649,"Develop or specify standards, methods, or procedures to determine product quality or release readiness.",3.1666666666666665,3.0
14650,Update automated test scripts to ensure currency.,3.6666666666666665,4.5
14652,"Install, maintain, or use software testing programs.",3.5,3.0
14653,Provide feedback and recommendations to developers on software usability and functionality.,3.0,3.0
14654,Monitor program performance to ensure efficient and problem-free operations.,3.75,3.5
14655,"Conduct software compatibility tests with programs, hardware, operating systems, or network environments.",3.25,5.0
14658,"Identify program deviance from standards, and suggest modifications to ensure compliance.",3.0,3.5
14667,"Provide advice on project costs, design concepts, or design changes.",3.5714285714285716,2.3333333333333335
